quorum_check_enabled,ongaro_lease_enabled,leaseguard_enabled,inherit_lease_enabled,defer_commit_enabled,end_ts,writes,reads
False,False,False,False,False,101315,1,0
False,False,False,False,False,101596,0,1
False,False,False,False,False,101651,0,1
False,False,False,False,False,101786,0,1
False,False,False,False,False,101843,0,1
False,False,False,False,False,102955,1,0
False,False,False,False,False,103267,0,1
False,False,False,False,False,103338,0,1
False,False,False,False,False,103777,0,1
False,False,False,False,False,103914,1,0
False,False,False,False,False,104138,1,0
False,False,False,False,False,104449,0,1
False,False,False,False,False,104894,1,0
False,False,False,False,False,105091,0,1
False,False,False,False,False,105262,0,1
False,False,False,False,False,105576,1,0
False,False,False,False,False,105767,0,1
False,False,False,False,False,106393,0,1
False,False,False,False,False,106700,0,1
False,False,False,False,False,106722,0,1
False,False,False,False,False,107123,1,0
False,False,False,False,False,107481,0,1
False,False,False,False,False,107657,0,1
False,False,False,False,False,107675,1,0
False,False,False,False,False,108244,1,0
False,False,False,False,False,108985,1,0
False,False,False,False,False,109006,0,1
False,False,False,False,False,109090,0,1
False,False,False,False,False,109268,0,1
False,False,False,False,False,109335,0,1
False,False,False,False,False,110314,0,1
False,False,False,False,False,110468,0,1
False,False,False,False,False,110501,1,0
False,False,False,False,False,110736,1,0
False,False,False,False,False,110918,0,1
False,False,False,False,False,112329,0,1
False,False,False,False,False,112401,0,1
False,False,False,False,False,112925,1,0
False,False,False,False,False,113173,1,0
False,False,False,False,False,113347,0,1
False,False,False,False,False,113565,0,1
False,False,False,False,False,113604,1,0
False,False,False,False,False,113800,0,1
False,False,False,False,False,114269,0,1
False,False,False,False,False,114618,0,1
False,False,False,False,False,114664,1,0
False,False,False,False,False,114697,0,1
False,False,False,False,False,114771,0,1
False,False,False,False,False,115123,1,0
False,False,False,False,False,115576,0,1
False,False,False,False,False,115798,0,1
False,False,False,False,False,116083,1,0
False,False,False,False,False,116724,0,1
False,False,False,False,False,116815,0,1
False,False,False,False,False,117128,1,0
False,False,False,False,False,117418,0,1
False,False,False,False,False,117931,1,0
False,False,False,False,False,118031,0,1
False,False,False,False,False,118050,0,1
False,False,False,False,False,118105,0,1
False,False,False,False,False,119383,0,1
False,False,False,False,False,119919,0,1
False,False,False,False,False,120023,1,0
False,False,False,False,False,120073,0,1
False,False,False,False,False,120268,1,0
False,False,False,False,False,120749,0,1
False,False,False,False,False,120813,0,1
False,False,False,False,False,121415,0,1
False,False,False,False,False,121476,0,1
False,False,False,False,False,121507,1,0
False,False,False,False,False,121526,0,1
False,False,False,False,False,122266,1,0
False,False,False,False,False,122799,1,0
False,False,False,False,False,122965,0,1
False,False,False,False,False,123093,0,1
False,False,False,False,False,123533,0,1
False,False,False,False,False,123877,1,0
False,False,False,False,False,124121,0,1
False,False,False,False,False,124689,1,0
False,False,False,False,False,124855,0,1
False,False,False,False,False,124957,1,0
False,False,False,False,False,125695,0,1
False,False,False,False,False,125932,0,1
False,False,False,False,False,126337,0,1
False,False,False,False,False,126566,1,0
False,False,False,False,False,126840,1,0
False,False,False,False,False,126852,0,1
False,False,False,False,False,127430,0,1
False,False,False,False,False,127559,0,1
False,False,False,False,False,128209,0,1
False,False,False,False,False,128523,0,1
False,False,False,False,False,128672,1,0
False,False,False,False,False,128760,0,1
False,False,False,False,False,129175,0,1
False,False,False,False,False,129497,0,1
False,False,False,False,False,129502,1,0
False,False,False,False,False,129912,1,0
False,False,False,False,False,130006,0,1
False,False,False,False,False,130380,0,1
False,False,False,False,False,130585,0,1
False,False,False,False,False,130913,0,1
False,False,False,False,False,131224,1,0
False,False,False,False,False,131648,0,1
False,False,False,False,False,131738,1,0
False,False,False,False,False,132172,0,1
False,False,False,False,False,132336,0,1
False,False,False,False,False,132493,1,0
False,False,False,False,False,132725,0,1
False,False,False,False,False,133087,0,1
False,False,False,False,False,133540,1,0
False,False,False,False,False,134562,1,0
False,False,False,False,False,134669,0,1
False,False,False,False,False,134989,0,1
False,False,False,False,False,135471,0,1
False,False,False,False,False,135640,1,0
False,False,False,False,False,135691,0,1
False,False,False,False,False,135913,0,1
False,False,False,False,False,136429,0,1
False,False,False,False,False,136806,1,0
False,False,False,False,False,136950,0,1
False,False,False,False,False,137162,0,1
False,False,False,False,False,137405,0,1
False,False,False,False,False,137744,1,0
False,False,False,False,False,138106,1,0
False,False,False,False,False,138324,0,1
False,False,False,False,False,138833,1,0
False,False,False,False,False,138954,0,1
False,False,False,False,False,139429,0,1
False,False,False,False,False,139882,0,1
False,False,False,False,False,140133,0,1
False,False,False,False,False,140351,0,1
False,False,False,False,False,140965,1,0
False,False,False,False,False,141011,0,1
False,False,False,False,False,141347,1,0
False,False,False,False,False,141856,1,0
False,False,False,False,False,142059,0,1
False,False,False,False,False,142225,0,1
False,False,False,False,False,142374,0,1
False,False,False,False,False,142652,0,1
False,False,False,False,False,142945,0,1
False,False,False,False,False,143327,1,0
False,False,False,False,False,143388,0,1
False,False,False,False,False,143579,1,0
False,False,False,False,False,143995,0,1
False,False,False,False,False,144121,0,1
False,False,False,False,False,145259,0,1
False,False,False,False,False,145452,1,0
False,False,False,False,False,145507,0,1
False,False,False,False,False,146100,1,0
False,False,False,False,False,146342,1,0
False,False,False,False,False,146380,0,1
False,False,False,False,False,146989,0,1
False,False,False,False,False,147294,0,1
False,False,False,False,False,147555,0,1
False,False,False,False,False,147627,1,0
False,False,False,False,False,147784,0,1
False,False,False,False,False,147885,1,0
False,False,False,False,False,148042,0,1
False,False,False,False,False,148523,0,1
False,False,False,False,False,149279,0,1
False,False,False,False,False,149577,0,1
False,False,False,False,False,149883,1,0
False,False,False,False,False,150141,1,0
False,False,False,False,False,150325,0,1
False,False,False,False,False,150396,0,1
False,False,False,False,False,150794,0,1
False,False,False,False,False,151118,0,1
False,False,False,False,False,151334,1,0
False,False,False,False,False,151550,1,0
False,False,False,False,False,151667,0,1
False,False,False,False,False,151986,0,1
False,False,False,False,False,152282,1,0
False,False,False,False,False,152304,0,1
False,False,False,False,False,153404,0,1
False,False,False,False,False,153489,0,1
False,False,False,False,False,153631,0,1
False,False,False,False,False,154118,0,1
False,False,False,False,False,154276,1,0
False,False,False,False,False,154497,1,0
False,False,False,False,False,155092,1,0
False,False,False,False,False,155231,0,1
False,False,False,False,False,155816,0,1
False,False,False,False,False,156267,0,1
False,False,False,False,False,156557,1,0
False,False,False,False,False,156854,1,0
False,False,False,False,False,156961,0,1
